time,64.68,65.66,66.64,67.62,68.6,69.58,70.56,71.54,72.52,73.5,74.48,75.46,76.44,77.42,78.4,79.38,80.36,81.34,82.32,83.3,84.28,85.26,86.24,87.22,88.2,89.18,90.16,91.14,92.12,93.1,94.08,95.06,96.04,97.02,98,98.98,99.96,100.94,101.92,102.9,103.88,104.86,105.84,106.82,107.8,108.78,109.76,110.74,111.72,112.7,113.68,114.66,115.64,116.62
0.45,-42.084436,-43.643119,-43.643119,-43.643119,-40.525753,-40.525753,-45.201802,-43.643119,-48.319167,-43.643119,-48.319167,-43.643119,-51.436533,-46.760485,-43.643119,-49.87785,-43.643119,-48.319167,-54.553899,-51.436533,-48.319167,-43.643119,-43.643119,-43.643119,-48.319167,-43.643119,-42.084436,-43.643119,-52.995216,-52.995216,-51.436533,-48.319167,-46.760485,-43.643119,-43.643119,-43.643119,-46.760485,-57.671264,-56.112581,-46.760485,-43.643119,-45.201802,-46.760485,-45.201802,-42.084436,-46.760485,-43.643119,-46.760485,-43.643119,-46.760485,-48.319167,-43.643119,-42.084436,-40.525753
0.5,-35.849705,-32.732339,-32.732339,-34.291022,-31.173656,-40.525753,-38.96707,-38.96707,-38.96707,-40.525753,-48.319167,-43.643119,-45.201802,-43.643119,-51.436533,-43.643119,-28.056291,-34.291022,-40.525753,-40.525753,-43.643119,-51.436533,-48.319167,-45.201802,-40.525753,-43.643119,-48.319167,-38.96707,-35.849705,-38.96707,-43.643119,-45.201802,-42.084436,-43.643119,-46.760485,-48.319167,-42.084436,-40.525753,-46.760485,-48.319167,-46.760485,-40.525753,-46.760485,-40.525753,-35.849705,-45.201802,-48.319167,-46.760485,-48.319167,-43.643119,-37.408388,-40.525753,-42.084436,-43.643119
0.55,-28.056291,-23.380242,-28.056291,-29.614974,-28.056291,-28.056291,-31.173656,-29.614974,-28.056291,-32.732339,-32.732339,-35.849705,-28.056291,-28.056291,-32.732339,-29.614974,-28.056291,-29.614974,-35.849705,-32.732339,-28.056291,-32.732339,-40.525753,-40.525753,-35.849705,-34.291022,-38.96707,-40.525753,-46.760485,-42.084436,-35.849705,-35.849705,-35.849705,-38.96707,-43.643119,-43.643119,-45.201802,-40.525753,-35.849705,-48.319167,-48.319167,-46.760485,-38.96707,-34.291022,-37.408388,-38.96707,-42.084436,-45.201802,-49.87785,-45.201802,-43.643119,-43.643119,-43.643119,-45.201802
0.6,-17.145511,-21.821559,-20.262877,-15.586828,-10.91078,-17.145511,-18.704194,-17.145511,-18.704194,-15.586828,-21.821559,-26.497608,-26.497608,-24.938925,-24.938925,-28.056291,-26.497608,-24.938925,-28.056291,-24.938925,-24.938925,-23.380242,-24.938925,-34.291022,-29.614974,-28.056291,-28.056291,-32.732339,-32.732339,-35.849705,-40.525753,-35.849705,-32.732339,-37.408388,-37.408388,-35.849705,-31.173656,-31.173656,-35.849705,-46.760485,-32.732339,-29.614974,-29.614974,-32.732339,-32.732339,-34.291022,-42.084436,-38.96707,-37.408388,-38.96707,-40.525753,-43.643119,-40.525753,-40.525753
0.65,-6.234731,-6.234731,-10.91078,-14.028145,-14.028145,-14.028145,-14.028145,-12.469463,-17.145511,-18.704194,-21.821559,-21.821559,-18.704194,-21.821559,-18.704194,-21.821559,-24.938925,-20.262877,-21.821559,-26.497608,-21.821559,-21.821559,-24.938925,-20.262877,-23.380242,-23.380242,-28.056291,-23.380242,-24.938925,-28.056291,-28.056291,-28.056291,-28.056291,-31.173656,-29.614974,-31.173656,-29.614974,-29.614974,-29.614974,-29.614974,-32.732339,-29.614974,-28.056291,-23.380242,-26.497608,-28.056291,-34.291022,-35.849705,-29.614974,-28.056291,-29.614974,-32.732339,-32.732339,-31.173656
0.7,6.234731,6.234731,1.558683,3.117366,-1.558683,3.117366,-1.558683,-7.793414,6.234731,-6.234731,-9.352097,-9.352097,-9.352097,-9.352097,-12.469463,-15.586828,-14.028145,-12.469463,-14.028145,-17.145511,-15.586828,-18.704194,-15.586828,-17.145511,-18.704194,-15.586828,-21.821559,-20.262877,-14.028145,-17.145511,-18.704194,-18.704194,-17.145511,-14.028145,-15.586828,-24.938925,-21.821559,-24.938925,-21.821559,-20.262877,-21.821559,-20.262877,-17.145511,-23.380242,-26.497608,-21.821559,-23.380242,-26.497608,-29.614974,-26.497608,-20.262877,-21.821559,-23.380242,-24.938925
0.75,14.028145,15.586828,15.586828,14.028145,9.352097,10.91078,6.234731,10.91078,10.91078,1.558683,3.117366,0,-4.676048,-6.234731,-3.117366,-4.676048,-3.117366,-6.234731,-6.234731,-6.234731,1.558683,-1.558683,-7.793414,-14.028145,-12.469463,-14.028145,-15.586828,-17.145511,-17.145511,-15.586828,-9.352097,-9.352097,-14.028145,-15.586828,-20.262877,-21.821559,-20.262877,-17.145511,-17.145511,-21.821559,-21.821559,-21.821559,-20.262877,-17.145511,-21.821559,-29.614974,-23.380242,-18.704194,-18.704194,-21.821559,-24.938925,-21.821559,-17.145511,-21.821559
0.8,21.821559,17.145511,21.821559,10.91078,17.145511,17.145511,15.586828,17.145511,14.028145,6.234731,7.793414,9.352097,9.352097,9.352097,6.234731,7.793414,6.234731,6.234731,6.234731,7.793414,6.234731,-3.117366,-7.793414,-6.234731,-4.676048,1.558683,-12.469463,-9.352097,-6.234731,-12.469463,-14.028145,-12.469463,-7.793414,-9.352097,-10.91078,-9.352097,-9.352097,-9.352097,-9.352097,-9.352097,-10.91078,-17.145511,-17.145511,-14.028145,-14.028145,-15.586828,-14.028145,-15.586828,-18.704194,-17.145511,-14.028145,-14.028145,-18.704194,-14.028145
0.85,28.056291,28.056291,28.056291,24.938925,24.938925,23.380242,21.821559,18.704194,21.821559,18.704194,20.262877,15.586828,17.145511,14.028145,14.028145,18.704194,15.586828,17.145511,17.145511,9.352097,10.91078,14.028145,12.469463,12.469463,9.352097,9.352097,9.352097,4.676048,4.676048,3.117366,-1.558683,-6.234731,1.558683,0,-3.117366,-1.558683,-3.117366,-1.558683,-10.91078,-9.352097,-6.234731,-15.586828,-6.234731,-4.676048,-7.793414,-10.91078,-15.586828,-17.145511,-9.352097,-6.234731,-6.234731,-14.028145,-12.469463,-10.91078
0.9,42.084436,40.525753,40.525753,32.732339,34.291022,35.849705,26.497608,26.497608,29.614974,31.173656,21.821559,18.704194,17.145511,23.380242,23.380242,21.821559,21.821559,14.028145,15.586828,18.704194,17.145511,17.145511,17.145511,14.028145,14.028145,9.352097,7.793414,9.352097,10.91078,9.352097,9.352097,7.793414,12.469463,9.352097,6.234731,6.234731,6.234731,3.117366,6.234731,4.676048,6.234731,6.234731,14.028145,7.793414,1.558683,0,9.352097,3.117366,1.558683,-1.558683,-1.558683,-1.558683,-9.352097,-7.793414
0.95,56.112581,42.084436,43.643119,46.760485,48.319167,35.849705,32.732339,35.849705,34.291022,31.173656,35.849705,34.291022,29.614974,28.056291,26.497608,28.056291,26.497608,28.056291,21.821559,24.938925,23.380242,20.262877,21.821559,17.145511,17.145511,17.145511,20.262877,18.704194,17.145511,18.704194,17.145511,14.028145,14.028145,14.028145,14.028145,12.469463,10.91078,9.352097,7.793414,6.234731,6.234731,4.676048,0,3.117366,6.234731,7.793414,7.793414,6.234731,17.145511,12.469463,9.352097,9.352097,9.352097,7.793414
1,54.553899,56.112581,49.87785,45.201802,48.319167,42.084436,37.408388,40.525753,40.525753,38.96707,35.849705,35.849705,38.96707,32.732339,28.056291,37.408388,35.849705,37.408388,37.408388,31.173656,31.173656,28.056291,24.938925,23.380242,23.380242,20.262877,14.028145,15.586828,17.145511,21.821559,21.821559,21.821559,20.262877,20.262877,17.145511,17.145511,17.145511,14.028145,12.469463,14.028145,17.145511,17.145511,17.145511,14.028145,17.145511,14.028145,14.028145,17.145511,17.145511,10.91078,9.352097,9.352097,10.91078,9.352097
1.05,62.347313,56.112581,49.87785,52.995216,56.112581,40.525753,49.87785,51.436533,49.87785,45.201802,43.643119,40.525753,40.525753,37.408388,35.849705,43.643119,35.849705,35.849705,32.732339,29.614974,29.614974,31.173656,26.497608,24.938925,26.497608,23.380242,24.938925,24.938925,18.704194,18.704194,17.145511,18.704194,18.704194,18.704194,24.938925,21.821559,18.704194,23.380242,21.821559,15.586828,17.145511,21.821559,24.938925,17.145511,24.938925,18.704194,21.821559,17.145511,17.145511,14.028145,15.586828,17.145511,14.028145,14.028145
