time,72.5,71.52,70.54,69.56,68.58,67.6,66.62,65.64,64.66,63.68,62.7,61.72,60.74,59.76,58.78,57.8,56.82,55.84,54.86,53.88,52.9,51.92,50.94,49.96,48.98,48,47.02,46.04,45.06,44.08,43.1,42.12,41.14,40.16,39.18,38.2,37.22,36.24,35.26,34.28
0.504,-105.990432,-101.314383,-93.520969,-93.520969,-95.079652,-105.990432,-90.403603,-85.727555,-79.492824,-87.286238,-90.403603,-84.168872,-88.844921,-82.610189,-73.258092,-65.464678,-70.140727,-67.023361,-67.023361,-59.229947,-57.671264,-56.112581,-48.319167,-52.995216,-51.436533,-43.643119,-45.201802,-43.643119,-48.319167,-40.525753,-40.525753,-35.849705,-32.732339,-23.380242,-23.380242,-24.938925,-29.614974,-28.056291,-29.614974,-21.821559
0.532,-105.990432,-102.873066,-96.638335,-102.873066,-98.197018,-93.520969,-102.873066,-91.962286,-87.286238,-88.844921,-87.286238,-88.844921,-95.079652,-82.610189,-85.727555,-82.610189,-77.934141,-71.69941,-59.229947,-62.347313,-60.78863,-52.995216,-56.112581,-63.905996,-59.229947,-51.436533,-51.436533,-45.201802,-38.96707,-40.525753,-45.201802,-34.291022,-32.732339,-34.291022,-40.525753,-32.732339,-34.291022,-34.291022,-37.408388,-31.173656
0.56,-82.610189,-104.431749,-110.66648,-99.7557,-88.844921,-88.844921,-93.520969,-99.7557,-93.520969,-96.638335,-93.520969,-88.844921,-82.610189,-74.816775,-76.375458,-76.375458,-74.816775,-70.140727,-70.140727,-68.582044,-57.671264,-51.436533,-59.229947,-59.229947,-67.023361,-59.229947,-52.995216,-54.553899,-54.553899,-51.436533,-48.319167,-46.760485,-45.201802,-43.643119,-42.084436,-42.084436,-46.760485,-42.084436,-37.408388,-31.173656
0.588,-102.873066,-102.873066,-95.079652,-98.197018,-101.314383,-99.7557,-95.079652,-88.844921,-90.403603,-87.286238,-90.403603,-93.520969,-88.844921,-90.403603,-85.727555,-84.168872,-81.051507,-79.492824,-77.934141,-74.816775,-71.69941,-73.258092,-71.69941,-71.69941,-81.051507,-62.347313,-56.112581,-56.112581,-56.112581,-65.464678,-56.112581,-48.319167,-49.87785,-48.319167,-51.436533,-48.319167,-38.96707,-45.201802,-38.96707,-40.525753
0.616,-109.107797,-105.990432,-104.431749,-110.66648,-102.873066,-91.962286,-90.403603,-93.520969,-102.873066,-99.7557,-95.079652,-95.079652,-95.079652,-88.844921,-81.051507,-85.727555,-84.168872,-82.610189,-90.403603,-77.934141,-67.023361,-67.023361,-74.816775,-70.140727,-67.023361,-57.671264,-59.229947,-59.229947,-57.671264,-56.112581,-57.671264,-57.671264,-48.319167,-45.201802,-56.112581,-51.436533,-52.995216,-56.112581,-43.643119,-37.408388
0.644,-105.990432,-101.314383,-93.520969,-105.990432,-102.873066,-99.7557,-99.7557,-93.520969,-82.610189,-90.403603,-95.079652,-87.286238,-98.197018,-96.638335,-84.168872,-76.375458,-76.375458,-82.610189,-82.610189,-79.492824,-82.610189,-76.375458,-68.582044,-68.582044,-68.582044,-74.816775,-71.69941,-73.258092,-63.905996,-59.229947,-67.023361,-59.229947,-54.553899,-56.112581,-63.905996,-46.760485,-56.112581,-56.112581,-51.436533,-54.553899
0.672,-113.783846,-101.314383,-98.197018,-98.197018,-87.286238,-93.520969,-95.079652,-93.520969,-95.079652,-96.638335,-99.7557,-95.079652,-85.727555,-77.934141,-84.168872,-82.610189,-90.403603,-85.727555,-76.375458,-82.610189,-79.492824,-71.69941,-57.671264,-73.258092,-77.934141,-76.375458,-74.816775,-76.375458,-63.905996,-67.023361,-68.582044,-57.671264,-57.671264,-57.671264,-56.112581,-60.78863,-63.905996,-57.671264,-57.671264,-57.671264
0.7,-98.197018,-101.314383,-93.520969,-82.610189,-90.403603,-93.520969,-96.638335,-90.403603,-85.727555,-79.492824,-85.727555,-91.962286,-85.727555,-87.286238,-82.610189,-79.492824,-87.286238,-82.610189,-79.492824,-77.934141,-76.375458,-82.610189,-88.844921,-85.727555,-77.934141,-82.610189,-82.610189,-74.816775,-63.905996,-70.140727,-71.69941,-73.258092,-77.934141,-70.140727,-68.582044,-67.023361,-56.112581,-62.347313,-63.905996,-71.69941
0.728,-102.873066,-102.873066,-101.314383,-93.520969,-82.610189,-82.610189,-85.727555,-93.520969,-96.638335,-93.520969,-87.286238,-88.844921,-91.962286,-90.403603,-84.168872,-84.168872,-85.727555,-98.197018,-90.403603,-87.286238,-81.051507,-76.375458,-71.69941,-65.464678,-74.816775,-71.69941,-77.934141,-77.934141,-73.258092,-84.168872,-74.816775,-65.464678,-70.140727,-70.140727,-70.140727,-65.464678,-68.582044,-74.816775,-70.140727,-65.464678
0.756,-76.375458,-71.69941,-68.582044,-71.69941,-84.168872,-91.962286,-102.873066,-91.962286,-95.079652,-90.403603,-85.727555,-77.934141,-76.375458,-77.934141,-77.934141,-76.375458,-77.934141,-79.492824,-82.610189,-87.286238,-90.403603,-88.844921,-79.492824,-74.816775,-84.168872,-77.934141,-77.934141,-82.610189,-73.258092,-71.69941,-73.258092,-74.816775,-70.140727,-71.69941,-71.69941,-71.69941,-62.347313,-65.464678,-71.69941,-67.023361
